id,request_id,responder_id,response_type,response_notes,status,created_at,reciprocal_date,reciprocal_start_time,reciprocal_end_time,reciprocal_child_id,block_time_id,invited_parent_id,accepted_parent_id,action_type,original_response_id,updated_at,decline_action,counter_proposal_date,counter_proposal_start_time,counter_proposal_end_time,selected_cancellation_request_id,counter_proposal_notes,invited_child_id
02e10570-52ac-4866-9e1d-37f2ff4263fb,0df0df08-6d8f-48f3-b0f0-00fda8242745,1f66fb72-ccfb-4a55-8738-716a12543421,pending,,accepted,2025-10-24 20:12:39.026197+00,,,,,,,,reschedule_response,,2025-10-24 20:15:18.020605+00,,,,,,,
af9130f1-a668-4383-8b15-02fc7aa43a04,7ec54779-e46b-4422-9243-43e7acfe01f0,88416767-8bca-46c7-9dd3-f191a134b46b,accept,care response,accepted,2025-10-24 20:04:08.26066+00,2025-10-25,07:30:00,11:30:00,5f093c84-ed8c-44b2-a2aa-3673c760b627,,,,new,,2025-10-24 20:04:45.21779+00,,,,,,,
3808831f-535a-4ba3-8c65-724b4d5fc7ea,84d0f796-597e-4967-83ea-5c8ba35cc8d9,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,Open block invitation,accepted,2025-10-24 20:05:23.305988+00,2025-10-27,13:05:00,17:05:00,3d9d40ea-b518-4414-810b-c21bbc33573d,c79ad635-8848-4d96-b1de-eef291735d03,2a7f3ce2-69f8-4241-831f-5c3f38f35890,,new,,2025-10-24 20:05:23.305988+00,,,,,,,
8977beb8-2e4a-4a47-959b-40ce41a181fb,a0cbeef5-563f-4081-b38e-54a9fdccc661,1ddffe94-817a-4fad-859e-df7adae45e31,pending,Open block invitation,accepted,2025-10-24 20:05:23.305988+00,2025-10-26,13:00:00,17:00:00,a42af785-eb87-4f53-af70-137b2946eee3,992cba79-ec2e-4206-b776-2a4aebcff63d,1ddffe94-817a-4fad-859e-df7adae45e31,,new,,2025-10-24 20:05:23.305988+00,,,,,,,
1218f4b1-b8c1-47a1-9ea5-8a20021e9056,7ec54779-e46b-4422-9243-43e7acfe01f0,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,,declined,2025-10-24 20:04:08.26066+00,,,,,,,,new,,2025-10-24 20:04:45.21779+00,,,,,,,
57817fce-5ea3-4688-be88-55d453f850d1,7ec54779-e46b-4422-9243-43e7acfe01f0,1ddffe94-817a-4fad-859e-df7adae45e31,pending,,declined,2025-10-24 20:04:08.26066+00,,,,,,,,new,,2025-10-24 20:04:45.21779+00,,,,,,,
7c98aa03-8b6b-4576-ba34-96528c47e51b,84d0f796-597e-4967-83ea-5c8ba35cc8d9,1ddffe94-817a-4fad-859e-df7adae45e31,pending,Open block invitation,declined,2025-10-24 20:05:23.305988+00,2025-10-27,13:05:00,17:05:00,a42af785-eb87-4f53-af70-137b2946eee3,c79ad635-8848-4d96-b1de-eef291735d03,1ddffe94-817a-4fad-859e-df7adae45e31,,new,,2025-10-24 20:05:23.305988+00,,,,,,,
e5f01060-191a-4f5f-a47a-318fdc5e8f0c,a0cbeef5-563f-4081-b38e-54a9fdccc661,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,Open block invitation,declined,2025-10-24 20:05:23.305988+00,2025-10-26,13:00:00,17:00:00,3d9d40ea-b518-4414-810b-c21bbc33573d,992cba79-ec2e-4206-b776-2a4aebcff63d,2a7f3ce2-69f8-4241-831f-5c3f38f35890,,new,,2025-10-24 20:05:23.305988+00,,,,,,,
e9585e43-23dc-4bb6-835f-d860400bf418,0df0df08-6d8f-48f3-b0f0-00fda8242745,1ddffe94-817a-4fad-859e-df7adae45e31,pending,,pending,2025-10-24 20:12:39.026197+00,,,,,,,,reschedule_response,,2025-10-24 20:12:39.026197+00,,,,,,,
629c1f2f-6d9c-44b4-bd24-b0190d6970dd,0df0df08-6d8f-48f3-b0f0-00fda8242745,2a7f3ce2-69f8-4241-831f-5c3f38f35890,pending,,pending,2025-10-24 20:12:39.026197+00,,,,,,,,reschedule_response,,2025-10-24 20:12:39.026197+00,,,,,,,
