id,group_id,parent_id,child_id,care_date,start_time,end_time,care_type,status,related_request_id,notes,is_editable,edit_deadline,edit_reason,original_start_time,original_end_time,original_care_date,edited_by,edited_at,event_title,event_description,is_group_event,created_at,updated_at,action_type,original_care_id,reschedule_group_id,end_date
4975a613-b1fe-4505-8864-f7322aee7a7d,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,a42af785-eb87-4f53-af70-137b2946eee3,2025-10-24,18:00:00,19:00:00,needed,rescheduled,a0cbeef5-563f-4081-b38e-54a9fdccc661," - Open block accepted - Parent receiving care - Pending reschedule response",true,,,,,,,,,,false,2025-10-24 20:08:04.322572+00,2025-10-24 20:08:04.322572+00,rescheduled,,,
d7325431-9868-4a4c-bda2-0230d0154a92,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-10-24,18:00:00,19:00:00,needed,rescheduled,84d0f796-597e-4967-83ea-5c8ba35cc8d9," - Open block accepted - Parent receiving care - Pending reschedule response",true,,,,,,,,,,false,2025-10-24 20:08:51.038751+00,2025-10-24 20:08:51.038751+00,rescheduled,,,
f2f0b510-5b45-4daa-9d7a-57566c87a637,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-25,07:30:00,11:30:00,needed,confirmed,7ec54779-e46b-4422-9243-43e7acfe01f0,Reciprocal care for responder,true,,,,,,,,,,false,2025-10-24 20:04:45.21779+00,2025-10-24 20:04:45.21779+00,new,,,
d0a4191d-0ce3-4a3c-8189-530ed004fad4,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-26,13:00:00,17:00:00,needed,confirmed,a0cbeef5-563f-4081-b38e-54a9fdccc661," - Open block accepted - sender receiving care",true,,,,,,,,,,false,2025-10-24 20:08:04.322572+00,2025-10-24 20:08:04.322572+00,new,,,
f3ee2b56-f2a0-49d3-b19c-912e2ac94afe,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-27,13:05:00,17:05:00,needed,confirmed,84d0f796-597e-4967-83ea-5c8ba35cc8d9," - Open block accepted - sender receiving care",true,,,,,,,,,,false,2025-10-24 20:08:51.038751+00,2025-10-24 20:08:51.038751+00,new,,,
72428973-5120-48a5-af86-846adcb96c58,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-10-31,18:00:00,21:30:00,needed,confirmed,0df0df08-6d8f-48f3-b0f0-00fda8242745,Reschedule accepted,true,,,,,,,,,,false,2025-10-24 20:15:18.020605+00,2025-10-24 20:15:18.020605+00,new,,,
f135a15d-d1bf-4096-a56d-ae7918f97de7,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-10-24,18:00:00,19:00:00,provided,rescheduled,7ec54779-e46b-4422-9243-43e7acfe01f0,care response - Pending reschedule responses,true,,,,,,,,,,false,2025-10-24 20:04:45.21779+00,2025-10-24 20:04:45.21779+00,rescheduled,,,
59fa3e8b-31a4-4217-b717-9c2eb6e9199c,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-25,07:30:00,11:30:00,provided,confirmed,7ec54779-e46b-4422-9243-43e7acfe01f0,Reciprocal care provided by requester,true,,,,,,,,,,false,2025-10-24 20:04:45.21779+00,2025-10-24 20:04:45.21779+00,new,,,
ee6e35a1-0736-4315-af00-fc21db134347,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,a42af785-eb87-4f53-af70-137b2946eee3,2025-10-26,13:00:00,17:00:00,provided,confirmed,a0cbeef5-563f-4081-b38e-54a9fdccc661," - Open block accepted - Parent providing care",true,,,,,,,,,,false,2025-10-24 20:08:04.322572+00,2025-10-24 20:08:04.322572+00,new,,,
7966d680-2c2b-4183-a032-89b6d50a6c30,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-10-27,13:05:00,17:05:00,provided,confirmed,84d0f796-597e-4967-83ea-5c8ba35cc8d9," - Open block accepted - Parent providing care",true,,,,,,,,,,false,2025-10-24 20:08:51.038751+00,2025-10-24 20:08:51.038751+00,new,,,
b34c374b-7bed-4904-a141-65170be6df87,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-31,18:00:00,21:30:00,provided,confirmed,0df0df08-6d8f-48f3-b0f0-00fda8242745,Rescheduled care block,true,,,,,,,,,,false,2025-10-24 20:15:18.020605+00,2025-10-24 20:15:18.020605+00,new,,,
