id,created_at,scheduled_care_id,child_id,providing_parent_id,notes,action_type,original_children_id
01579b2f-75f3-4f3c-8c39-7eaa492dc283,2025-10-22 18:23:26.386754+00,8f1513d8-596c-4cdd-ad2a-b8bb2003c558,5f093c84-ed8c-44b2-a2aa-3673c760b627,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - original requester child added to accepting parent providing care block,new,
112d8c93-a5d2-49e7-96c3-0a892fe73f81,2025-10-22 18:23:11.363517+00,869bec57-c730-47f1-8776-9494e95b2189,5f093c84-ed8c-44b2-a2aa-3673c760b627,1ddffe94-817a-4fad-859e-df7adae45e31,Open block - original requester child added to accepting parent providing care block,new,
2578e5c4-8d7c-42da-9264-00185a9ef2d6,2025-10-22 18:22:25.847942+00,899b49be-2429-4689-9aa7-5ff927555010,24015a99-6392-4b82-b575-8bf9bf6bef92,88416767-8bca-46c7-9dd3-f191a134b46b,Requester child needs care from responder,new,
282d2f3a-8e14-473a-97ef-56899d93835a,2025-10-22 18:22:25.847942+00,3fe9d8d9-e918-40bb-b1a0-970d07c7f605,24015a99-6392-4b82-b575-8bf9bf6bef92,88416767-8bca-46c7-9dd3-f191a134b46b,Requester child needs care from responder,new,
300f58ca-9a6f-4591-8e4f-d3ddcd740aff,2025-10-22 18:23:11.363517+00,3fe9d8d9-e918-40bb-b1a0-970d07c7f605,a42af785-eb87-4f53-af70-137b2946eee3,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - accepting parent child added to original opened block,new,
426ff39e-9cca-4f74-82fa-23955ca024f1,2025-10-22 18:22:25.847942+00,536bc04e-913a-4eb6-beda-34cbaf09eb2f,24015a99-6392-4b82-b575-8bf9bf6bef92,1f66fb72-ccfb-4a55-8738-716a12543421,Requester child needs care from requester,new,
464537e0-c6f5-4852-9b74-dde1553a34de,2025-10-22 18:22:25.847942+00,d4fd6eb1-8c63-465b-8a03-912ea19ef2a8,5f093c84-ed8c-44b2-a2aa-3673c760b627,1f66fb72-ccfb-4a55-8738-716a12543421,Responder child needs care from requester,new,
5a1ebf43-36e2-4e3f-84f2-7a1c56a61e36,2025-10-22 18:23:26.386754+00,3fe9d8d9-e918-40bb-b1a0-970d07c7f605,3d9d40ea-b518-4414-810b-c21bbc33573d,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - accepting parent child added to original opened block,new,
776e872e-0da5-47bd-9f26-253110efd008,2025-10-22 18:22:25.847942+00,899b49be-2429-4689-9aa7-5ff927555010,5f093c84-ed8c-44b2-a2aa-3673c760b627,88416767-8bca-46c7-9dd3-f191a134b46b,Responder child needs care from responder,new,
8ad91044-2a18-46d3-b028-47f47177aa93,2025-10-22 18:22:25.847942+00,3fe9d8d9-e918-40bb-b1a0-970d07c7f605,5f093c84-ed8c-44b2-a2aa-3673c760b627,88416767-8bca-46c7-9dd3-f191a134b46b,Responder child needs care from responder,new,
a473bd5d-dd58-4a60-9877-6cd3e61acf17,2025-10-22 18:23:26.386754+00,8f1513d8-596c-4cdd-ad2a-b8bb2003c558,3d9d40ea-b518-4414-810b-c21bbc33573d,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - accepting parent child added to their providing care block,new,
b02b7377-8a7b-44b3-ac98-70de91bf3a41,2025-10-22 18:22:25.847942+00,d4fd6eb1-8c63-465b-8a03-912ea19ef2a8,24015a99-6392-4b82-b575-8bf9bf6bef92,1f66fb72-ccfb-4a55-8738-716a12543421,Requester child needs care from requester,new,
d857e342-45d5-4d4e-8216-ead598821c49,2025-10-22 18:22:25.847942+00,536bc04e-913a-4eb6-beda-34cbaf09eb2f,5f093c84-ed8c-44b2-a2aa-3673c760b627,1f66fb72-ccfb-4a55-8738-716a12543421,Responder child needs care from requester,new,
e7e0d2e7-3f3f-4d56-b80a-7ff6a6e0cd83,2025-10-22 18:23:11.363517+00,869bec57-c730-47f1-8776-9494e95b2189,a42af785-eb87-4f53-af70-137b2946eee3,1ddffe94-817a-4fad-859e-df7adae45e31,Open block - accepting parent child added to their providing care block,new,
